"id","dataset","reagent","description"
1,"cd3cd28","Anti-CD3/CD28","T cell activation"
2,"cd3cd28_icam2","ICAM-2","LFA-1 signaling induction"
3,"cd3cd28_aktinhib","AKT_inhibitor","PKA activation"
4,"cd3cd28_g0076","G06976","AKT inhibition"
5,"cd3cd28_psitect","Psitectorigenin","MEK1/MEK2 inhibition"
6,"cd3cd28_u0126","U0126","PKC activation"
7,"cd3cd28_ly","LY294002","PKC inhibition"
8,"pma","PMA","PIP2 production inhibition"
9,"b2camp","beta2cAMP","AKT inhibition"
10,"cd3cd28icam2_aktinhib","simulated","simulated dataset"
11,"cd3cd28icam2_g0076","simulated","simulated dataset"
12,"cd3cd28icam2_psit","simulated","simulated dataset"
13,"cd3cd28icam2_u0126","simulated","simulated dataset"
14,"cd3cd28icam2_ly","simulated","simulated dataset"
